iter	RMSE
0	14.54862371
1	14.1091581
2	13.64304456
3	13.26432165
4	12.84822647
5	12.53081026
6	12.17524713
7	11.8241502
8	11.49503082
9	11.15903511
10	10.86544414
11	10.58460082
12	10.3172171
13	10.06619029
14	9.847055131
15	9.625703587
16	9.366655678
17	9.152325763
18	8.96351152
19	8.74841096
20	8.557459982
21	8.376198208
22	8.193319629
23	8.049947425
24	7.915463617
25	7.779178527
26	7.661006275
27	7.539334198
28	7.407305431
29	7.279948294
30	7.175016938
31	7.066303254
32	6.971041999
33	6.883904595
34	6.793619051
35	6.707855363
36	6.630505207
37	6.553725773
38	6.485278569
39	6.413985293
40	6.361687144
41	6.300879355
42	6.243098216
43	6.196383113
44	6.141085287
45	6.096017711
46	6.058792303
47	6.018810629
48	5.980604526
49	5.944844059
50	5.916255261
51	5.876462602
52	5.841479385
53	5.814781883
54	5.784731037
55	5.758834248
56	5.729795703
57	5.701670916
58	5.673785983
59	5.653025135
60	5.629418537
61	5.59893423
62	5.578859022
63	5.560900538
64	5.537100367
65	5.515992016
66	5.494052643
67	5.480725342
68	5.462236096
69	5.446130019
70	5.432190582
71	5.413184553
72	5.397088761
73	5.385493563
74	5.368292679
75	5.352621153
76	5.341674035
77	5.33084145
78	5.317570988
79	5.307059962
80	5.29501702
81	5.287445818
82	5.27483652
83	5.264032224
84	5.253778215
85	5.241810783
86	5.235547054
87	5.228834776
88	5.221211841
89	5.213026401
90	5.20596716
91	5.195177708
92	5.18782558
93	5.182459717
94	5.177445127
95	5.169778216
96	5.163264424
97	5.155096859
98	5.149448482
99	5.143311397
