iter	Passed	Remaining
0	0	13
1	0	11
2	0	11
3	0	12
4	0	12
5	0	12
6	0	12
7	1	21
8	2	20
9	2	19
10	2	18
11	2	18
12	2	17
13	2	17
14	2	16
15	3	16
16	3	16
17	3	15
18	3	15
19	3	15
20	3	14
21	4	14
22	4	14
23	4	13
24	4	13
25	4	13
26	4	12
27	4	12
28	4	12
29	5	11
30	5	11
31	5	11
32	5	11
33	5	11
34	5	11
35	6	10
36	6	10
37	6	10
38	6	10
39	6	9
40	6	9
41	7	9
42	7	9
43	7	9
44	7	9
45	7	8
46	7	8
47	7	8
48	8	8
49	8	8
50	8	7
51	8	7
52	8	7
53	8	7
54	8	7
55	8	6
56	9	6
57	9	6
58	9	6
59	9	6
60	9	6
61	9	5
62	9	5
63	9	5
64	10	5
65	10	5
66	10	5
67	10	4
68	10	4
69	10	4
70	10	4
71	11	4
72	11	4
73	11	3
74	11	3
75	11	3
76	11	3
77	11	3
78	11	3
79	12	3
80	12	2
81	12	2
82	12	2
83	12	2
84	12	2
85	12	2
86	13	1
87	13	1
88	13	1
89	13	1
90	13	1
91	13	1
92	14	1
93	14	0
94	14	0
95	14	0
96	14	0
97	14	0
98	14	0
99	15	0
