iter	RMSE
0	14.6457875
1	14.29452798
2	13.91849539
3	13.61021268
4	13.26774017
5	13.00347778
6	12.70491436
7	12.41663321
8	12.12761037
9	11.83771763
10	11.58021649
11	11.32495157
12	11.08484281
13	10.85131099
14	10.65128076
15	10.4449838
16	10.20656189
17	10.00693504
18	9.818778383
19	9.641601944
20	9.459973626
21	9.3025014
22	9.126654928
23	8.974184829
24	8.809691897
25	8.64735938
26	8.510195512
27	8.377109841
28	8.251540666
29	8.1242767
30	8.005750602
31	7.877541524
32	7.76771282
33	7.654426278
34	7.541802851
35	7.454082826
36	7.360339848
37	7.275814205
38	7.192399976
39	7.098331721
40	7.022433165
41	6.964158554
42	6.889895493
43	6.828949991
44	6.755779803
45	6.688522268
46	6.632589826
47	6.577084635
48	6.520882504
49	6.469830293
50	6.423509177
51	6.369404917
52	6.320349469
53	6.283201152
54	6.23463122
55	6.195319192
56	6.155169456
57	6.114888605
58	6.073481419
59	6.041569987
60	6.0077299
61	5.96943953
62	5.948758086
63	5.915233695
64	5.887912224
65	5.861767508
66	5.834095516
67	5.810011436
68	5.784222626
69	5.761159397
70	5.737625055
71	5.720203166
72	5.700219202
73	5.678532834
74	5.661952997
75	5.644649581
76	5.630528736
77	5.616096348
78	5.600455379
79	5.584642052
80	5.566447298
81	5.547933173
82	5.53325017
83	5.51892693
84	5.505385335
85	5.489990835
86	5.482505986
87	5.470042989
88	5.456570313
89	5.44104172
90	5.427698828
91	5.413875712
92	5.40076195
93	5.390128955
94	5.378898751
95	5.371447238
96	5.360772447
97	5.348807079
98	5.336088651
99	5.324512219
100	5.315164595
101	5.306025838
102	5.298277751
103	5.289557648
104	5.281485741
105	5.276246142
106	5.267838671
107	5.259676914
108	5.253154058
109	5.249952467
110	5.244508892
111	5.240252565
112	5.230479649
113	5.222702228
114	5.218417945
115	5.212490196
116	5.206071911
117	5.199571086
118	5.190086198
119	5.182069853
120	5.17617045
121	5.172492369
122	5.16445599
123	5.157851127
124	5.153447669
125	5.146877811
126	5.138218246
127	5.134369071
128	5.128274931
129	5.123449918
130	5.117648156
131	5.113608465
132	5.10856546
133	5.10311001
134	5.097261389
135	5.093997715
136	5.088909971
137	5.086927156
138	5.08515808
139	5.082609495
140	5.078184534
141	5.074018817
142	5.069213263
143	5.062976825
144	5.059327656
145	5.054408492
146	5.053291568
147	5.051240227
148	5.047035641
149	5.043303717
150	5.039296686
151	5.036878279
152	5.03338284
153	5.028283931
154	5.025314843
155	5.024811462
156	5.023000231
157	5.022306841
158	5.015902562
159	5.01249232
160	5.009125475
161	5.004703242
162	4.997192207
163	4.993348538
164	4.989218955
165	4.987670499
166	4.984525746
167	4.981562882
168	4.979308805
169	4.975390222
170	4.970860925
171	4.968258497
172	4.965029738
173	4.961203288
174	4.956613455
175	4.953962586
176	4.951705469
177	4.949503252
178	4.946412404
179	4.942637002
180	4.937748403
181	4.93495587
182	4.929782219
183	4.927643619
184	4.925051933
185	4.923422965
186	4.918621991
187	4.915643679
188	4.91118944
189	4.90841454
190	4.904401416
191	4.90228154
192	4.899566631
193	4.896842858
194	4.893415449
195	4.891705763
196	4.887607007
197	4.882088299
198	4.880534234
199	4.87493341
200	4.870210623
201	4.868923787
202	4.866250102
203	4.86279531
204	4.859679502
205	4.856844027
206	4.853947975
207	4.850731205
