iter	Passed	Remaining
0	55	55711
1	55	27928
2	56	18664
3	56	14020
4	56	11234
5	56	9385
6	56	8063
7	57	7069
8	57	6294
9	57	5673
10	57	5170
11	57	4746
12	57	4386
13	57	4083
14	58	3815
15	58	3582
16	58	3376
17	58	3196
18	58	3032
19	58	2882
20	59	2755
21	59	2636
22	59	2527
23	59	2425
24	59	2331
25	59	2245
26	60	2164
27	60	2093
28	60	2025
29	60	1960
30	60	1899
31	60	1842
32	61	1789
33	61	1739
34	61	1692
35	61	1647
36	61	1603
37	61	1565
38	61	1527
39	62	1491
40	62	1458
41	62	1426
42	62	1394
43	62	1366
44	63	1340
45	63	1313
46	63	1288
47	63	1262
48	63	1238
49	63	1215
50	64	1195
51	64	1175
52	64	1154
53	64	1134
54	65	1116
55	65	1098
56	65	1081
57	65	1063
58	65	1047
59	65	1030
60	65	1015
61	66	1000
62	66	985
63	66	973
64	66	960
65	67	948
66	67	937
67	67	925
68	67	912
69	67	901
70	67	889
71	68	877
72	68	866
73	68	856
74	68	846
75	68	836
76	69	827
77	69	818
78	69	809
79	69	799
80	69	791
81	69	782
82	70	774
83	70	767
84	70	760
85	70	752
86	70	743
87	71	737
88	71	730
89	71	724
90	71	717
91	71	709
92	72	703
93	72	697
94	72	690
95	72	683
96	72	677
97	73	672
98	73	667
99	73	661
100	73	655
101	73	650
102	73	644
103	74	639
104	74	635
105	74	630
106	74	625
107	75	620
108	75	615
109	75	610
110	75	606
111	75	601
112	76	597
113	76	592
114	76	588
115	76	583
116	76	579
117	77	575
118	77	571
119	77	567
120	77	562
121	77	558
122	77	554
123	78	551
124	78	548
125	78	544
126	78	540
127	78	537
128	79	533
129	79	530
130	79	527
131	79	523
132	79	520
133	80	517
134	80	514
135	80	511
136	80	508
137	80	504
138	80	501
139	81	498
140	81	495
141	81	492
142	81	489
143	81	486
144	81	483
145	82	480
146	82	477
147	82	475
148	82	472
149	83	470
150	83	467
151	83	465
152	83	462
153	83	460
154	83	457
155	84	454
156	84	452
157	84	450
158	84	447
159	84	445
160	84	442
161	85	440
162	85	438
163	85	435
164	85	433
165	85	431
166	85	428
167	86	426
168	86	424
169	86	422
170	86	420
171	86	418
172	87	416
173	87	414
174	87	412
175	87	410
176	87	408
177	87	406
178	88	404
179	88	402
180	88	400
181	88	398
182	88	396
183	89	395
184	89	393
185	89	392
186	89	390
187	90	389
188	90	387
189	90	386
190	90	384
191	90	382
192	91	381
193	91	379
194	91	377
195	91	376
196	91	374
197	92	372
198	92	371
199	92	369
200	92	367
201	92	366
202	92	364
203	93	363
204	93	362
205	93	360
206	93	358
207	93	357
208	93	355
209	94	354
210	94	352
211	94	351
212	94	349
213	94	348
214	95	346
215	95	345
216	95	344
217	95	343
218	95	341
219	95	340
220	96	339
221	96	337
222	96	336
223	96	335
224	96	333
225	97	332
226	97	331
227	97	330
228	97	329
229	97	327
230	98	326
231	98	325
232	98	324
233	98	323
234	99	322
235	99	320
236	99	319
237	99	318
238	99	317
239	99	315
240	99	314
241	100	313
242	100	312
243	100	311
244	100	310
245	100	308
246	100	307
247	101	306
248	101	305
249	101	304
250	101	303
251	101	302
252	102	301
253	102	300
254	102	299
255	102	298
256	102	297
257	103	296
258	103	296
259	103	294
260	103	293
261	103	292
262	104	291
263	104	290
264	104	289
265	104	288
266	104	287
267	104	286
268	105	285
269	105	284
270	105	283
271	105	282
272	105	281
273	106	280
274	106	279
275	106	279
276	106	278
277	106	277
278	106	276
279	107	275
280	107	274
281	107	273
282	107	273
283	107	271
284	108	271
285	108	270
286	108	269
287	108	268
288	108	267
289	108	266
290	109	265
291	109	264
292	109	264
293	109	263
294	109	262
295	110	261
296	110	261
297	110	260
298	110	259
299	110	258
300	111	258
301	111	257
302	111	256
303	111	255
304	111	255
305	112	254
306	112	253
307	112	252
308	112	251
309	112	250
310	112	250
311	113	249
312	113	248
313	114	249
314	114	248
315	114	247
316	114	246
317	114	246
318	115	245
319	115	244
320	115	244
321	115	243
322	115	242
323	116	242
324	116	241
325	116	240
326	116	240
327	116	239
328	116	238
329	117	237
330	117	237
331	117	236
332	117	235
333	117	235
334	118	234
335	118	233
336	118	233
337	118	232
338	118	231
339	119	231
340	119	230
341	119	229
342	119	229
343	119	228
344	120	227
345	120	227
346	120	226
347	120	226
348	120	225
349	121	224
350	121	224
351	121	223
352	121	222
353	121	222
354	121	221
355	122	220
356	122	220
357	122	219
358	122	219
359	123	218
360	123	218
361	123	217
362	123	217
363	123	216
364	124	215
365	124	215
366	124	214
367	124	214
368	124	213
369	125	212
370	125	212
371	125	211
372	125	211
373	125	210
374	126	210
375	126	209
376	126	208
377	126	208
378	126	207
379	126	206
380	127	206
381	127	205
382	127	205
383	127	204
384	127	204
385	127	203
386	128	202
387	128	202
388	128	202
389	128	201
390	128	200
391	129	200
392	129	199
393	129	199
394	129	198
395	129	197
396	129	197
397	130	196
398	130	196
399	130	196
400	130	195
401	131	194
402	131	194
403	131	193
404	131	193
405	131	192
406	131	192
407	132	191
408	132	191
409	132	190
410	132	190
411	133	189
412	133	189
413	133	188
414	133	188
415	133	187
416	133	187
417	134	186
418	134	186
419	134	185
420	134	185
421	134	184
422	135	184
423	135	183
424	135	183
425	135	182
426	135	182
427	135	181
428	136	181
429	136	180
430	136	180
431	136	179
432	137	179
433	137	179
434	137	178
435	137	178
436	137	177
437	138	177
438	138	176
439	138	176
440	138	175
441	139	175
442	139	175
443	139	174
444	139	174
445	139	173
446	139	173
447	140	172
448	140	172
449	140	171
450	140	171
451	140	170
452	141	170
453	141	169
454	141	169
455	141	168
456	141	168
457	141	168
458	142	167
459	142	167
460	142	166
461	142	166
462	142	165
463	143	165
464	143	164
465	143	164
466	143	163
467	143	163
468	143	162
469	144	162
470	144	162
471	144	161
472	144	161
473	144	160
474	144	160
475	145	159
476	145	159
477	145	159
478	145	158
479	145	158
480	146	157
481	146	157
482	146	156
483	146	156
484	146	155
485	147	155
486	147	155
487	147	154
488	147	154
489	147	153
490	148	153
491	148	153
492	148	152
493	148	152
494	148	151
495	148	151
496	148	150
497	149	150
498	149	149
499	149	149
500	149	149
501	149	148
502	149	148
503	150	147
504	150	147
505	150	146
506	150	146
507	150	146
508	151	145
509	151	145
510	151	144
511	151	144
512	151	144
513	152	143
514	152	143
515	152	143
516	152	142
517	152	142
518	153	141
519	153	141
520	153	140
521	153	140
522	153	140
523	153	139
524	154	139
525	154	138
526	154	138
527	154	138
528	155	138
529	155	137
530	155	137
531	155	136
532	155	136
533	155	135
534	156	135
535	156	135
536	156	135
537	156	134
538	157	134
539	157	133
540	157	133
541	157	133
542	157	132
543	157	132
544	158	131
545	158	131
546	158	131
547	158	130
548	158	130
549	159	130
550	159	129
551	159	129
552	159	129
553	159	128
554	160	128
555	160	128
556	160	127
557	160	127
558	160	126
559	161	126
560	161	126
561	161	125
562	161	125
563	161	124
564	161	124
565	162	124
566	162	123
567	162	123
568	162	123
569	162	122
570	163	122
571	163	122
572	163	121
573	163	121
574	163	121
575	163	120
576	164	120
577	164	119
578	164	119
579	164	119
580	164	118
581	164	118
582	165	118
583	165	117
584	165	117
585	165	116
586	165	116
587	165	116
588	166	115
589	166	115
590	166	115
591	166	114
592	166	114
593	167	114
594	167	113
595	167	113
596	167	113
597	167	112
598	168	112
599	168	112
600	168	111
601	168	111
602	168	111
603	169	110
604	169	110
605	169	110
606	169	109
607	169	109
608	169	109
609	170	108
610	170	108
611	170	108
612	170	107
613	171	107
614	171	107
615	171	106
616	171	106
617	171	106
618	172	105
619	172	105
620	172	105
621	172	104
622	172	104
623	172	104
624	172	103
625	173	103
626	173	103
627	173	102
628	173	102
629	174	102
630	174	101
631	174	101
632	174	101
633	174	100
634	175	100
635	175	100
636	175	99
637	175	99
638	175	99
639	175	98
640	175	98
641	176	98
642	176	97
643	176	97
644	176	97
645	176	96
646	176	96
647	177	96
648	177	95
649	177	95
650	177	95
651	177	94
652	177	94
653	178	94
654	178	93
655	178	93
656	178	93
657	178	92
658	178	92
659	179	92
660	179	91
661	179	91
662	179	91
663	180	91
664	180	90
665	180	90
666	180	90
667	180	89
668	181	89
669	181	89
670	181	88
671	181	88
672	181	88
673	181	87
674	182	87
675	182	87
676	182	87
677	182	86
678	182	86
679	182	86
680	183	85
681	183	85
682	183	85
683	183	84
684	183	84
685	183	84
686	183	83
687	184	83
688	184	83
689	184	82
690	184	82
691	184	82
692	184	81
693	185	81
694	185	81
695	185	80
696	185	80
697	185	80
698	185	80
699	185	79
700	186	79
701	186	79
702	186	78
703	186	78
704	186	78
705	186	77
706	187	77
707	187	77
708	187	76
709	187	76
710	187	76
711	187	75
712	188	75
713	188	75
714	188	75
715	188	74
716	188	74
717	188	74
718	188	73
719	189	73
720	189	73
721	189	72
722	189	72
723	189	72
724	189	71
